aircraft_model,icao_type,engine,oew_kg,mtow_kg,mzfw_kg,max_seats,cruise_mach,base_tas_kts,sfc_cruise,ld_ratio,taxi_kg_s,to_kg_s,climb_kg_s,app_kg_s
A220-300,BCS3,PW1524G,37080,70900,57600,140,0.78,447,0.000142,17.8,0.16,1.85,1.35,0.48
A320neo,A20N,CFM LEAP-1A26,44300,79000,64300,180,0.78,450,0.000145,18.2,0.19,2.15,1.55,0.55
B737-800,B738,CFM56-7B26,41413,79015,62730,175,0.78,452,0.000168,16.8,0.22,2.45,1.78,0.64
B787-9,B789,GEnx-1B74,128850,254011,181436,296,0.85,488,0.000138,20.5,0.37,5.1,3.65,1.25
A350-900,A359,Trent XWB-84,142400,280000,195700,325,0.85,490,0.000139,20.8,0.4,5.45,3.9,1.32
B777-300ER,B77W,GE90-115B,167829,351533,237682,368,0.84,484,0.000158,19.1,0.52,7.4,5.2,1.75
