year,host,winner,runner_up,third_place,fourth_place,teams,matches,goals,avg_goals_per_match,total_attendance
1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215
1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538
1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100
2002,South Korea/Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197
2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439
2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856
2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873
2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768
2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252
